CERT C~ | 1-0-2 | 3
CERT O??CA?oID_BC`_Q_?iAI? | 6-0-10 7-1-13 8-2-9 3-11-4 12-5-14 | 15
CERT O??CA?oID_BC`_PC@gAE? | 6-0-10 7-1-13 8-2-9 3-11-4 12-5-14 | 15
CERT O??CA?oID_BCoCBO?wAK? | 6-0-10 7-1-12 8-2-9 3-11-4 13-5-14 | 15
CERT O??CA?oID_BC@cp?@gAE? | 6-0-10 7-1-13 8-2-9 3-11-4 12-5-14 | 15
CERT O??CA?oID_BC@co_@gAI? | 6-0-10 7-1-13 8-2-9 3-11-4 12-5-14 | 15
CERT O??CA?oID_BC@cQ_OgAI? | 6-0-10 7-1-13 8-2-9 3-11-4 12-5-14 | 15
CERT O??CA?oID_WAR?BGAW?M? | 6-0-10 7-1-11 2-8-3 9-4-12 13-5-15 | 14
CERT O??CA?oID_WAR?AWAo?M? | 6-0-10 7-1-11 8-2-9 3-14-5 12-4-13 | 15
CERT O??CA?oID_WAF?B_?kAE? | 6-0-10 7-1-11 8-2-9 3-12-4 13-5-14 | 15
CERT O??CA?oID_WAD_Oo@g?X? | 6-0-10 7-1-11 8-2-9 3-12-5 14-4-15 | 13
CERT O??CA?oID_WAEO@W@oAK? | 6-0-10 7-1-11 8-2-9 3-12-4 13-5-14 | 15
CERT O??CA?oID_WACo@W@oAW? | 6-0-10 7-1-11 2-8-3 9-4-14 13-5-15 | 12
CERT O??CA?oID_WACWBO@oAK? | 6-0-10 7-1-11 2-8-3 9-4-13 14-5-15 | 12
CERT O??CA?oI@oPCs?P_?i?M? | 6-0-11 7-1-12 8-2-9 3-10-4 13-5-14 | 15
CERT O??CA?oI?wR?WG@SGWCK? | 6-0-11 7-1-12 8-2-9 3-10-4 13-5-15 | 14
CERT O??CA?oIDCWGQGBCAo?i? | 6-0-10 7-1-11 8-2-9 14-3-15 12-4-13 | 5
CERT O??CA?oIDCWCT?EC@g?M? | 6-0-10 7-1-11 8-2-9 12-3-13 4-14-5 | 15
CERT O??CA?oIDCPCF?SCGg?M? | 6-0-10 7-1-13 8-2-9 3-12-4 14-5-15 | 11
CERT O??CA?oIDCPCQCT?Ag?M? | 6-0-10 7-1-12 2-8-3 9-4-11 13-5-14 | 15
CERT O??CA?oIDCPCBCP_IG?i? | 6-0-10 7-1-13 8-2-9 14-3-15 11-4-12 | 5
CERT O??CA?oIE@GoI_aOAa?i? | 6-0-10 7-1-11 8-2-9 14-3-15 12-4-13 | 5
CERT O??CA?oIE@GoI_ECAgCI? | 6-0-10 7-1-11 8-2-9 3-13-4 14-5-15 | 12
CERT O??CA?oIE@GoI_BCAgCa? | 6-0-10 7-1-11 8-2-9 14-3-15 12-4-13 | 5
CERT O??CA?oIE@GoI_ASAgCg? | 6-0-10 7-1-11 8-2-9 14-3-15 12-4-13 | 5
CERT O??CA?oID@Y?F?B_?iAE? | 6-0-10 7-1-11 8-2-9 3-12-4 13-5-14 | 15
CERT O??CA?oID@Y?F?AS?wAK? | 6-0-10 7-1-11 8-2-9 3-12-4 14-5-15 | 13
CERT O??CA?oID@X?F?CS?wAK? | 6-0-10 7-1-11 8-2-9 12-3-13 14-5-15 | 4
CERT O??CA?oID@X?B_OoAg?g_ | 6-0-10 7-1-11 8-2-9 14-3-15 4-12-5 | 13
CERT O??CA?oID@X?ASDOAoAK? | 6-0-10 7-1-11 2-8-3 9-4-12 13-5-14 | 15
CERT O??CA?oID@R?D_R??wAA_ | 6-0-10 7-1-13 8-2-9 3-11-4 12-5-14 | 15
CERT O??CA?oID@R?QCDO?wAK? | 6-0-10 7-1-12 8-2-9 11-3-13 14-5-15 | 4
CERT O??CA?oID@W_P_B_BG?a_ | 6-0-10 7-1-11 8-2-9 14-3-15 4-13-5 | 12
CERT O??CA?oID@W_ASSO@o?k? | 6-0-10 7-1-11 8-2-9 13-3-15 12-4-14 | 5
CERT O??CA?oID@W_ASOoB_?k? | 6-0-10 7-1-11 8-2-9 3-15-5 12-4-14 | 13
CERT O??CA?oID@W_?sU?Ao?Y? | 6-0-10 7-1-11 8-2-9 13-3-14 4-15-5 | 12
CERT O??CA?oID@W_?sSOB_?[? | 6-0-10 7-1-11 8-2-9 13-3-14 4-15-5 | 12
CERT O??CA?oID@Q_U?AS?wAK? | 6-0-10 7-1-12 2-8-3 9-4-13 11-5-14 | 15
CERT O??CA?oID@Q_S_B_@IAI? | 6-0-10 7-1-12 8-2-9 3-11-5 13-4-14 | 15
CERT O??CA?oID@Q_SCQO@o?M? | 6-0-10 7-1-12 8-2-9 3-11-5 13-4-14 | 15
CERT O??CA?oID@Q_SCPO@o?U? | 6-0-10 7-1-12 8-2-9 3-11-5 14-4-15 | 13
CERT O??CA?oID@Q_BCT?GW?U? | 6-0-10 7-1-13 8-2-9 3-11-5 12-4-15 | 14
CERT O??CA?oID@Q_BCR?GW?e? | 6-0-10 7-1-13 8-2-9 11-3-15 4-12-5 | 14
CERT O??CA?oID@Q_@cU?@WAI? | 6-0-10 7-1-13 2-8-3 9-4-14 11-5-12 | 15
CERT O??CA?oID@P_U?D_?YAI? | 6-0-10 7-1-12 2-8-3 9-4-11 13-5-15 | 14
CERT O??CA?oID@P_U?CS?wAK? | 6-0-10 7-1-12 2-8-3 9-4-11 14-5-15 | 13
CERT O??CA?oID@P_F?SCGW?M? | 6-0-10 7-1-13 8-2-9 3-12-4 11-5-15 | 14
CERT O??CA?oID@P_Q_D_AIAI? | 6-0-10 7-1-12 8-2-9 13-3-14 4-11-5 | 15
CERT O??CA?oID@P_Q_OoAg?g_ | 6-0-10 7-1-12 8-2-9 14-3-15 4-11-5 | 13
CERT O??CA?oID@P_E_SCGg?M? | 6-0-10 7-1-13 8-2-9 3-12-4 11-5-14 | 15
CERT O??CA?oID@P_B_P_IG?a_ | 6-0-10 7-1-13 8-2-9 14-3-15 11-4-12 | 5
CERT O??CA?oID@P_QCT?AW?M? | 6-0-10 7-1-12 8-2-9 13-3-14 4-11-5 | 15
CERT O??CA?oID@P_QCS_Ag?M? | 6-0-10 7-1-12 8-2-9 13-3-14 4-11-5 | 15
CERT O??CA?oID@P_QCSOAo?M? | 6-0-10 7-1-12 8-2-9 13-3-14 4-11-5 | 15
CERT O??CA?oID@P_BCPOIO?e? | 6-0-10 7-1-13 8-2-9 14-3-15 11-4-12 | 5
CERT O??CA?oID@H_Q__oAg?g_ | 6-0-10 7-1-11 2-8-3 9-4-12 14-5-15 | 13
CERT O??CA?oID@B_B_p?AIAE? | 6-0-10 7-1-13 8-2-9 11-3-14 4-12-5 | 15
CERT O??CA?oID@WOR?B_Ag?a_ | 6-0-10 7-1-11 8-2-9 14-3-15 12-4-13 | 5
CERT O??CA?oID@WO@oDOH_?o_ | 6-0-10 7-1-11 8-2-9 13-3-15 4-14-5 | 12
CERT O??CA?oID@QOOcR?Ag?Y? | 6-0-10 7-1-12 8-2-9 11-3-14 13-4-15 | 5
CERT O??CA?oID@POR?OoAg?g_ | 6-0-10 7-1-12 2-8-3 9-4-11 14-5-15 | 13
CERT O??CA?oID@POQCT?Ag?M? | 6-0-10 7-1-12 2-8-3 9-4-11 13-5-14 | 15
CERT O??CA?oID@OoF?T?@IAE? | 6-0-10 7-1-13 2-8-3 9-4-14 11-5-12 | 15
CERT O??CA?oID@OoS_F?@IAI? | 6-0-10 7-1-12 8-2-9 3-13-4 11-5-15 | 14
CERT O??CA?oID@OoQ_F?AIAI? | 6-0-10 7-1-12 8-2-9 13-3-14 11-5-15 | 4
CERT O??CA?oID@OoP_R?BG?a_ | 6-0-10 7-1-12 8-2-9 14-3-15 4-13-5 | 11
CERT O??CA?oID@OoP_SO@g?o_ | 6-0-10 7-1-12 8-2-9 13-3-15 4-14-5 | 11
CERT O??CA?oID@OoBCR?IG?e? | 6-0-10 7-1-13 8-2-9 14-3-15 4-12-5 | 11
CERT O??CA?oID@OoOcT?@g?q? | 6-0-10 7-1-12 8-2-9 13-3-15 4-14-5 | 11
CERT O??CA?oID@OoOcR?Ag?q? | 6-0-10 7-1-12 8-2-9 14-3-15 4-13-5 | 11
CERT O??CA?oID@OoOcPOB_?q? | 6-0-10 7-1-12 8-2-9 14-3-15 11-5-13 | 4
CERT O??CA?oID@@oQ_oOAg?g_ | 6-0-10 7-1-12 8-2-9 14-3-15 4-11-5 | 13
CERT O??CA?oID@WGR?BCAo?e? | 6-0-10 7-1-11 8-2-9 14-3-15 12-4-13 | 5
CERT O??CA?oID@WGP_AoB_?g_ | 6-0-10 7-1-11 8-2-9 3-14-4 12-5-15 | 13
CERT O??CA?oID@WAT?E_@g?M? | 6-0-10 7-1-11 8-2-9 12-3-13 4-14-5 | 15
CERT O??CA?oID@WAT?EO@o?M? | 6-0-10 7-1-11 8-2-9 12-3-13 4-14-5 | 15
CERT O??CA?oID@WAR?F?AW?M? | 6-0-10 7-1-11 8-2-9 13-3-14 4-12-5 | 15
CERT O??CA?oID@WAR?E_Ag?M? | 6-0-10 7-1-11 8-2-9 13-3-14 4-12-5 | 15
CERT O??CA?oID@WAR?EOAo?M? | 6-0-10 7-1-11 8-2-9 13-3-14 4-12-5 | 15
CERT O??CA?oID@WAF?EOGo?M? | 6-0-10 7-1-11 8-2-9 12-3-13 14-5-15 | 4
CERT O??CA?oID@WAQ_F?Ag?M? | 6-0-10 7-1-11 8-2-9 3-13-4 14-5-15 | 12
CERT O??CA?oID@WAB_F?AgAE? | 6-0-10 7-1-11 8-2-9 13-3-14 4-12-5 | 15
CERT O??CA?oID@WASOF?@o?M? | 6-0-10 7-1-11 8-2-9 12-3-13 4-14-5 | 15
CERT O??CA?oID@WAPODO@o?s? | 6-0-10 7-1-11 8-2-9 13-3-15 4-14-5 | 12
CERT O??CA?oIC`[?R?BC?w?e? | 6-0-10 7-1-11 2-8-3 9-4-12 13-5-14 | 15
CERT O??CA?oIC`[?R?Ac?w?i? | 6-0-10 7-1-11 8-2-9 3-15-5 12-4-13 | 14
CERT O??CA?oIC`[?Q_BCAg?M? | 6-0-10 7-1-11 8-2-9 3-14-5 12-4-13 | 15
CERT O??CA?oIC`[?P_E_@g?I_ | 6-0-10 7-1-11 8-2-9 3-13-4 12-5-14 | 15
CERT O??CA?oIC`[?BCB_AgAE? | 6-0-10 7-1-11 8-2-9 3-14-5 12-4-13 | 15
CERT O??CA?oIC`[?BCB_?wAa? | 6-0-10 7-1-11 2-8-3 9-4-12 13-5-14 | 15
CERT O??CA?oIC`[?ASPO@o?k? | 6-0-10 7-1-11 8-2-9 3-15-5 12-4-14 | 13
CERT O??CA?oIC`[?ASDO@oAK? | 6-0-10 7-1-11 8-2-9 3-13-5 12-4-14 | 15
CERT O??CA?oIC`[?@SOo@o?w? | 6-0-10 7-1-11 8-2-9 3-15-4 12-5-14 | 13
CERT O??CA?oIC`[??sDO@oAW? | 6-0-10 7-1-11 8-2-9 3-13-5 14-4-15 | 12
CERT O??CA?oIC`T?D_PC?wAQ? | 6-0-10 7-1-13 8-2-9 3-12-5 11-4-15 | 14
CERT O??CA?oIC`T?QCP_?w?i? | 6-0-10 7-1-12 9-2-11 8-3-15 13-5-14 | 4
CERT O??CA?oIC`T?BCP_?wAa? | 6-0-10 7-1-13 9-2-11 8-3-15 4-12-5 | 14
CERT O??CA?oIC`K_q?B_AW?I_ | 6-0-10 7-1-11 2-8-3 9-4-12 13-5-15 | 14
CERT O??CA?oIC`K_q?BC?w?e? | 6-0-10 7-1-11 2-8-3 9-4-12 13-5-14 | 15
CERT O??CA?oIC`K_q?Ac?w?i? | 6-0-10 7-1-11 8-2-9 3-15-5 12-4-13 | 14
CERT O??CA?oIC`K_q?@cAg?U? | 6-0-10 7-1-11 8-2-9 3-14-5 12-4-15 | 13
CERT O??CA?oIC`K_q?@cAW?Y? | 6-0-10 7-1-11 2-8-3 9-4-12 13-5-15 | 14
CERT O??CA?oIC`K_q?AS?w?k? | 6-0-10 7-1-11 8-2-9 3-15-5 12-4-13 | 14
CERT O??CA?oIC`D_q?CS?wAK? | 6-0-10 7-1-12 8-2-11 3-13-9 14-5-15 | 4
CERT O??CA?oIC`B_Aco_Gg@I? | 6-0-10 7-1-13 8-2-9 3-11-4 14-5-15 | 12
CERT O??CA?oIC`B_@cX?OWAQ? | 6-0-10 7-1-13 2-8-3 9-4-15 11-5-12 | 14
CERT O??CA?oIC`WOY?@cAg?Y? | 6-0-10 7-1-11 8-2-9 3-14-5 12-4-15 | 13
CERT O??CA?oIC`KOB_aOAgAG_ | 6-0-10 7-1-11 8-2-9 3-14-5 12-4-13 | 15
CERT O??CA?oIC`KOB_EOOgAG_ | 6-0-10 7-1-11 8-2-9 3-13-4 12-5-14 | 15
CERT O??CA?oIC`Cob?PC@WAa? | 6-0-10 7-1-13 9-2-11 8-3-15 12-4-14 | 5
CERT O??CA?oIC`Coo_U?@g?I_ | 6-0-10 7-1-12 8-2-9 3-13-4 11-5-14 | 15
CERT O??CA?oIC`Coa_SCGg?Y? | 6-0-10 7-1-13 8-2-9 12-4-15 11-5-14 | 3
CERT O??CA?oIC`Coa_QCGg?i? | 6-0-10 7-1-13 8-2-11 3-15-5 9-4-12 | 14
CERT O??CA?oIC`CoQ_EOOgAG_ | 6-0-10 7-1-12 8-2-9 3-13-4 11-5-14 | 15
CERT O??CA?oIC`CoOoU?P_?I_ | 6-0-10 7-1-12 8-2-9 3-13-4 11-5-14 | 15
CERT O??CA?oIC`Aoa_PCCgAQ? | 6-0-10 7-1-13 8-2-9 3-11-5 12-4-15 | 14
CERT O??CA?oICPL?`_D_AgAA_ | 6-0-10 7-1-11 2-8-3 4-9-15 12-5-13 | 14
CERT O??CA?oICPL?PODOAoCC_ | 6-0-10 7-1-11 2-8-3 4-9-15 12-5-13 | 14
CERT O??CA?oICPL?Ocd?Ag?M? | 6-0-10 7-1-11 2-8-3 4-9-12 13-5-14 | 15
CERT O??CA?oICPL?@SDOGoCc? | 6-0-10 7-1-11 8-2-9 13-3-15 12-5-14 | 4
CERT O??CA?oICP@oW_s?Ag?I_ | 6-0-10 7-1-12 8-2-9 13-3-14 4-11-5 | 15
CERT O??CA?oICP@oW_d?AIAI? | 6-0-10 7-1-12 8-2-9 13-3-14 4-11-5 | 15
CERT O??CA?oICP@oW_oOAg?g_ | 6-0-10 7-1-12 8-2-9 14-3-15 4-11-5 | 13
CERT O??CA?oICP@oW__SAgAg? | 6-0-10 7-1-12 8-2-9 14-3-15 4-11-5 | 13
CERT O??CA?oICPHGW_`_Ag?g_ | 6-0-10 7-1-11 8-2-12 3-14-5 4-9-15 | 13
CERT O??CA?oICPHGW_@cAgCg? | 6-0-10 7-1-11 8-2-12 14-3-15 4-9-13 | 5
CERT O??CA?oI@PX?d?CSGo?M? | 6-0-11 7-1-14 8-2-10 3-12-5 4-9-13 | 15
CERT O??CA?oI@PX?Ocd?Ag?M? | 6-0-11 7-1-12 9-2-10 8-3-13 14-5-15 | 4
CERT O??CA?oI@PR?s?P_?i?M? | 6-0-11 7-1-12 8-2-10 4-9-14 13-5-15 | 3
CERT O??CA?oI@PR?s?PO?q?M? | 6-0-11 7-1-12 8-2-10 4-9-14 13-5-15 | 3
CERT O??CA?oI@PR?`_S_?iAI? | 6-0-11 7-1-13 8-2-10 4-9-14 12-5-15 | 3
CERT O??CA?oI@PR?`_PCAgAE? | 6-0-11 7-1-13 2-8-3 9-4-10 12-5-14 | 15
CERT O??CA?oI@PR?`_OcAgAI? | 6-0-11 7-1-13 9-2-10 8-3-14 12-5-15 | 4
CERT O??CA?oI@PR?oCP_Ag?M? | 6-0-11 7-1-12 9-2-10 8-3-14 13-5-15 | 4
CERT O??CA?oI@PP_s?D_?iAE? | 6-0-11 7-1-12 8-2-10 3-13-5 4-9-14 | 15
CERT O??CA?oI@PP_d?T??YAE? | 6-0-11 7-1-13 8-2-10 3-12-5 4-9-14 | 15
CERT O??CA?oI@PP_d?PCAWAE? | 6-0-11 7-1-15 8-2-10 12-3-14 4-9-13 | 5
CERT O??CA?oI@PP_c_T??iAE? | 6-0-11 7-1-13 2-10-4 8-3-12 5-14-9 | 15
CERT O??CA?oI@PP_c_S_Gg?I_ | 6-0-11 7-1-13 9-2-10 8-3-12 14-5-15 | 4
CERT O??CA?oI@PP_oCT?AW?M? | 6-0-11 7-1-12 9-2-10 8-3-14 13-5-15 | 4
CERT O??CA?oI@PP_oCS_Ag?M? | 6-0-11 7-1-12 9-2-10 8-3-13 14-5-15 | 4
CERT O??CA?oI@PP_oCD_AgAE? | 6-0-11 7-1-12 2-8-3 9-4-10 13-5-14 | 15
CERT O??CA?oI@PP_oCSOAo?M? | 6-0-11 7-1-12 9-2-10 8-3-13 14-5-15 | 4
CERT O??CA?oI@PP_Ccp?AgAE? | 6-0-11 7-1-13 8-2-10 3-14-5 4-9-12 | 15
CERT O??CA?oI@PP_CcP_AgEA? | 6-0-11 7-1-13 8-2-10 3-14-5 4-9-12 | 15
CERT O??CA?oI@PP_@cs?AgAE? | 6-0-11 7-1-13 8-2-10 3-14-5 4-9-12 | 15
CERT O??CA?oI@PB_s?Oc?wCI? | 6-0-12 7-1-13 8-2-9 3-11-4 14-5-15 | 10
CERT O??CA?oI@PPOoCT?Ag?M? | 6-0-11 7-1-12 9-2-10 8-3-13 14-5-15 | 4
CERT O??CA?oI?pT?s?P_?i?M? | 6-0-11 7-1-12 8-2-9 3-10-4 13-5-14 | 15
CERT O??CA?oI?pT?s?PO?q?M? | 6-0-11 7-1-12 8-2-9 3-10-4 13-5-14 | 15
CERT O??CA?oI?pS_q?PCAW?M? | 6-0-11 7-1-12 8-2-9 10-3-14 13-5-15 | 4
CERT O??CA?oI?pS_q?OcAg?M? | 6-0-11 7-1-12 8-2-9 3-10-4 14-5-15 | 13
CERT O??CA?oI?pS_q?@cAgAE? | 6-0-11 7-1-12 8-2-9 3-10-4 13-5-14 | 15
CERT O??CA?oI?pS_q?OSAo?M? | 6-0-11 7-1-12 8-2-9 3-10-4 14-5-15 | 13
CERT O??CA?oI?pS_q?CSGo?M? | 6-0-11 7-1-12 8-2-9 10-3-13 14-5-15 | 4
CERT O??CA?oICH[?R?ECAW?M? | 6-0-10 7-1-11 8-2-9 13-3-14 4-12-5 | 15
CERT O??CA?oICH[?R?AcAW?i? | 6-0-10 7-1-11 8-2-9 14-3-15 12-4-13 | 5
CERT O??CA?oICH[?R?ASAW?k? | 6-0-10 7-1-11 8-2-9 14-3-15 12-4-13 | 5
CERT O??CA?oICH[?S_E_@g?I_ | 6-0-10 7-1-11 8-2-9 12-3-13 4-14-5 | 15
CERT O??CA?oICH[?S_B_@g?a_ | 6-0-10 7-1-11 8-2-9 12-3-15 13-4-14 | 5
CERT O??CA?oICH[?S_DO@o?Q_ | 6-0-10 7-1-11 8-2-9 12-3-13 14-4-15 | 5
CERT O??CA?oICH[?Q_F??w?a_ | 6-0-10 7-1-11 2-8-3 9-4-12 13-5-14 | 15
CERT O??CA?oICH[?Q_EO?w?g_ | 6-0-10 7-1-11 8-2-9 3-13-4 14-5-15 | 12
CERT O??CA?oICH[?Q_BOAo?a_ | 6-0-10 7-1-11 8-2-9 14-3-15 12-4-13 | 5
CERT O??CA?oICH[?Q_BOAW?g_ | 6-0-10 7-1-11 8-2-9 14-3-15 12-4-13 | 5
CERT O??CA?oICH[?Q_ECAg?M? | 6-0-10 7-1-11 8-2-9 3-13-4 14-5-15 | 12
CERT O??CA?oICH[?Q_BCAg?e? | 6-0-10 7-1-11 8-2-9 14-3-15 12-4-13 | 5
CERT O??CA?oICH[?Q_ASAg?k? | 6-0-10 7-1-11 8-2-9 14-3-15 12-4-13 | 5
CERT O??CA?oICH[?P_B_BG?a_ | 6-0-10 7-1-11 8-2-9 14-3-15 4-13-5 | 12
CERT O??CA?oICH[?P_DO@W?o_ | 6-0-10 7-1-11 8-2-9 3-13-5 14-4-15 | 12
CERT O??CA?oICH[?P_Co@g?o_ | 6-0-10 7-1-11 8-2-9 13-3-15 4-14-5 | 12
CERT O??CA?oICH[?SOEO@o?K_ | 6-0-10 7-1-11 8-2-9 12-3-13 4-14-5 | 15
CERT O??CA?oICH[?QOECAo?M? | 6-0-10 7-1-11 8-2-9 3-13-4 14-5-15 | 12
CERT O??CA?oICH[?POD_@W?o_ | 6-0-10 7-1-11 8-2-9 3-13-5 14-4-15 | 12
CERT O??CA?oICH[?POBOBO?c_ | 6-0-10 7-1-11 8-2-9 14-3-15 4-13-5 | 12
CERT O??CA?oICH[?POCo@o?o_ | 6-0-10 7-1-11 8-2-9 13-3-15 4-14-5 | 12
CERT O??CA?oICH[?OoD_@g?o_ | 6-0-10 7-1-11 8-2-9 13-3-15 4-14-5 | 12
CERT O??CA?oICH[?OoDO@o?o_ | 6-0-10 7-1-11 8-2-9 13-3-15 4-14-5 | 12
CERT O??CA?oICH[?OoAoB_?g_ | 6-0-10 7-1-11 8-2-9 3-15-5 13-4-14 | 12
CERT O??CA?oICHM?q?BC?w?e? | 6-0-10 7-1-11 2-8-3 9-4-12 13-5-14 | 15
CERT O??CA?oICHM?q?AS?w?k? | 6-0-10 7-1-11 8-2-9 3-15-5 12-4-13 | 14
CERT O??CA?oICHT?U?PCAW?M? | 6-0-10 7-1-12 9-2-11 8-3-14 13-5-15 | 4
CERT O??CA?oICHT?Q_SCAg?M? | 6-0-10 7-1-12 8-2-11 3-13-9 14-5-15 | 4
CERT O??CA?oICHT?Q_PCAW?i? | 6-0-10 7-1-12 8-2-11 14-3-15 4-9-13 | 5
CERT O??CA?oICHT?B_P_IG?a_ | 6-0-10 7-1-13 8-2-9 14-3-15 11-4-12 | 5
CERT O??CA?oICHT?QOPCAW?k? | 6-0-10 7-1-12 8-2-11 14-3-15 4-9-13 | 5
CERT O??CA?oICHT?QCT?AW?M? | 6-0-10 7-1-12 9-2-11 8-3-14 13-5-15 | 4
CERT O??CA?oICHT?QCS_Ag?M? | 6-0-10 7-1-12 9-2-11 8-3-13 14-5-15 | 4
CERT O??CA?oICHT?QCSO?w?k? | 6-0-10 7-1-12 9-2-11 8-3-13 14-5-15 | 4
CERT O??CA?oICHT?QCPOAW?k? | 6-0-10 7-1-12 9-2-11 8-3-14 13-5-15 | 4
CERT O??CA?oICHT?ECT?GW?M? | 6-0-10 7-1-14 8-2-9 3-12-4 13-5-15 | 11
CERT O??CA?oICHT?ECS_?wAI? | 6-0-10 7-1-13 8-2-9 3-12-4 14-5-15 | 11
CERT O??CA?oICHT?ECSOGo?M? | 6-0-10 7-1-13 8-2-9 3-12-4 14-5-15 | 11
CERT O??CA?oICHT?BCPOIO?e? | 6-0-10 7-1-13 8-2-9 14-3-15 11-4-12 | 5
CERT O??CA?oICHL?aOPOAo?c_ | 6-0-10 7-1-11 2-8-3 9-4-12 13-5-14 | 15
CERT O??CA?oICHF?q?@cAgAE? | 6-0-10 7-1-12 8-2-9 3-11-4 13-5-14 | 15
CERT O??CA?oICHW_Y?ECAW?M? | 6-0-10 7-1-12 8-2-9 13-3-14 11-5-15 | 4
CERT O??CA?oICHW_Y?AcAW?i? | 6-0-10 7-1-11 8-2-9 14-3-15 12-4-13 | 5
CERT O??CA?oICHK_q?E_?w?a_ | 6-0-10 7-1-12 8-2-9 13-3-15 11-5-14 | 4
CERT O??CA?oICHK_q?EO?w?c_ | 6-0-10 7-1-12 8-2-9 13-3-15 11-5-14 | 4
CERT O??CA?oICHK_q?ECAW?M? | 6-0-10 7-1-12 8-2-9 13-3-14 11-5-15 | 4
CERT O??CA?oICHK_q?AcAW?i? | 6-0-10 7-1-11 8-2-9 14-3-15 12-4-13 | 5
CERT O??CA?oICHK_q?ASAW?k? | 6-0-10 7-1-11 8-2-9 14-3-15 12-4-13 | 5
CERT O??CA?oICHK_R?EO?YCc? | 6-0-10 7-1-11 8-2-9 13-3-15 4-12-5 | 14
CERT O??CA?oICHK_R?AcAWCa? | 6-0-10 7-1-11 8-2-9 14-3-15 12-4-13 | 5
CERT O??CA?oICHK_R?CS@WCc? | 6-0-10 7-1-11 8-2-9 13-3-15 12-4-14 | 5
CERT O??CA?oICHK_OoB_AICo? | 6-0-10 7-1-11 8-2-9 14-3-15 4-13-5 | 12
CERT O??CA?oICHD_R?SO?YCc? | 6-0-10 7-1-12 8-2-9 13-3-15 4-11-5 | 14
CERT O??CA?oICHD_R?OcQG?e? | 6-0-10 7-1-12 8-2-9 14-3-15 4-11-5 | 13
CERT O??CA?oICHD_Oc@oJ?Ca? | 6-0-10 7-1-12 8-2-9 14-3-15 4-11-5 | 13
CERT O??CA?oICHKOq?F??w?a_ | 6-0-10 7-1-11 2-8-3 9-4-12 13-5-14 | 15
CERT O??CA?oICHKOq?BOAo?a_ | 6-0-10 7-1-11 8-2-9 14-3-15 12-4-13 | 5
CERT O??CA?oICHKOq?ECAg?M? | 6-0-10 7-1-11 8-2-9 3-13-4 14-5-15 | 12
CERT O??CA?oICHKOq?BCAg?e? | 6-0-10 7-1-11 8-2-9 14-3-15 12-4-13 | 5
CERT O??CA?oICHKOq?CcAg?Y? | 6-0-10 7-1-11 8-2-9 13-3-14 12-4-15 | 5
CERT O??CA?oICHKOq?ASAg?k? | 6-0-10 7-1-11 8-2-9 14-3-15 12-4-13 | 5
CERT O??CA?oICHKOq??sAg?w? | 6-0-10 7-1-11 8-2-9 3-14-5 12-4-15 | 13
CERT O??CA?oICHKOR?e?Ag?E_ | 6-0-10 7-1-11 8-2-9 13-3-14 4-12-5 | 15
CERT O??CA?oICHKOR?e??w?a_ | 6-0-10 7-1-11 8-2-9 13-3-15 4-12-5 | 14
CERT O??CA?oICHKOa_F??iAa? | 6-0-10 7-1-11 2-8-3 9-4-12 13-5-14 | 15
CERT O??CA?oICHKOa_ASAgAg? | 6-0-10 7-1-11 8-2-9 14-3-15 12-4-13 | 5
CERT O??CA?oICHKO_oT?@g?o_ | 6-0-10 7-1-11 8-2-9 13-3-15 4-14-5 | 12
CERT O??CA?oICHKO_oQOAa?w? | 6-0-10 7-1-11 8-2-9 3-14-5 13-4-15 | 12
CERT O??CA?oICHEOa_SCGg?Y? | 6-0-10 7-1-13 8-2-11 9-4-12 14-5-15 | 3
CERT O??CA?oICHEOa_QCGg?i? | 6-0-10 7-1-13 8-2-11 3-15-5 9-4-12 | 14
CERT O??CA?oICHPOM?T??iAE? | 6-0-10 7-1-13 2-8-3 11-4-12 5-14-9 | 15
CERT O??CA?oICHPOM?S_Gg?I_ | 6-0-10 7-1-13 8-2-9 3-12-4 14-5-15 | 11
CERT O??CA?oICHDOb?P_IG?a_ | 6-0-10 7-1-13 8-2-9 14-3-15 11-4-12 | 5
CERT O??CA?oICHCos?Q_@g?a_ | 6-0-10 7-1-12 8-2-11 3-15-9 13-4-14 | 5
CERT O??CA?oICHCop?Q_BG?a_ | 6-0-10 7-1-12 8-2-11 14-3-15 9-4-13 | 5
CERT O??CA?oICHCoo_SO@g?o_ | 6-0-10 7-1-12 8-2-9 13-3-15 4-14-5 | 11
CERT O??CA?oICHCoo_DOHG?o_ | 6-0-10 7-1-12 8-2-9 3-13-5 14-4-15 | 11
CERT O??CA?oICHCoS_cOHG?W_ | 6-0-10 7-1-12 9-2-11 8-3-13 14-4-15 | 5
CERT O??CA?oICHWGY?ECAo?M? | 6-0-10 7-1-11 8-2-9 3-13-4 14-5-15 | 12
CERT O??CA?oICHWGY?BCAo?e? | 6-0-10 7-1-11 8-2-9 14-3-15 12-4-13 | 5
CERT O??CA?oICHKGq?ECAo?M? | 6-0-10 7-1-11 8-2-9 3-13-4 14-5-15 | 12
CERT O??CA?oICHKGq?BCAo?e? | 6-0-10 7-1-11 8-2-9 14-3-15 12-4-13 | 5
CERT O??CA?oICHGaH_e?AWAQ? | 6-0-10 7-1-11 8-2-12 13-3-14 9-4-15 | 5
